policy,target,bucket,predictor,concept,n,base_rate_correct,auc,separation,orientation
margin,vote_correct,all,effective_support,manifold_support,2386,0.8407,0.6694,0.1694,1
margin,vote_correct,all,max_vote_weight,peak_mass,2386,0.8407,0.3882,0.1118,-1
margin,vote_correct,all,n_surviving_votes,support_breadth,2386,0.8407,0.7394,0.2394,1
margin,vote_correct,all,sim_floor_active,floor_level,2386,0.8407,0.4382,0.0618,-1
margin,vote_correct,forced,top1_top2_margin,rank_gap,546,0.3278,0.251,0.249,-1
margin,vote_correct,forced,vote_entropy,support_dispersion,546,0.3278,0.8014,0.3014,1
margin,vote_correct,forced,effective_support,manifold_support,546,0.3278,0.8014,0.3014,1
margin,vote_correct,forced,max_vote_weight,peak_mass,546,0.3278,0.1724,0.3276,-1
margin,vote_correct,forced,n_surviving_votes,support_breadth,546,0.3278,0.7816,0.2816,1
margin,vote_correct,forced,sim_floor_active,floor_level,546,0.3278,0.5577,0.0577,1
margin,vote_correct,borderline,top1_top2_margin,rank_gap,211,0.9384,0.331,0.169,-1
margin,vote_correct,borderline,vote_entropy,support_dispersion,211,0.9384,0.554,0.054,1
margin,vote_correct,borderline,effective_support,manifold_support,211,0.9384,0.554,0.054,1
margin,vote_correct,borderline,max_vote_weight,peak_mass,211,0.9384,0.3974,0.1026,-1
margin,vote_correct,borderline,n_surviving_votes,support_breadth,211,0.9384,0.5398,0.0398,1
margin,vote_correct,borderline,sim_floor_active,floor_level,211,0.9384,0.6096,0.1096,1
margin,vote_correct,recoverable,top1_top2_margin,rank_gap,1629,1.0,,,1
margin,vote_correct,recoverable,vote_entropy,support_dispersion,1629,1.0,,,1
margin,vote_correct,recoverable,effective_support,manifold_support,1629,1.0,,,1
margin,vote_correct,recoverable,max_vote_weight,peak_mass,1629,1.0,,,1
margin,vote_correct,recoverable,n_surviving_votes,support_breadth,1629,1.0,,,1
margin,vote_correct,recoverable,sim_floor_active,floor_level,1629,1.0,,,1
relative,top1_correct,all,top1_top2_margin,rank_gap,2449,0.8322,0.5906,0.0906,1
relative,top1_correct,all,vote_entropy,support_dispersion,2449,0.8322,0.6588,0.1588,1
relative,top1_correct,all,effective_support,manifold_support,2449,0.8322,0.6588,0.1588,1
relative,top1_correct,all,max_vote_weight,peak_mass,2449,0.8322,0.4257,0.0743,-1
relative,top1_correct,all,n_surviving_votes,support_breadth,2449,0.8322,0.7572,0.2572,1
relative,top1_correct,all,sim_floor_active,floor_level,2449,0.8322,0.6199,0.1199,1
relative,top1_correct,forced,top1_top2_margin,rank_gap,551,0.2541,0.2325,0.2675,-1
relative,top1_correct,forced,vote_entropy,support_dispersion,551,0.2541,0.6632,0.1632,1
relative,top1_correct,forced,effective_support,manifold_support,551,0.2541,0.6632,0.1632,1
relative,top1_correct,forced,max_vote_weight,peak_mass,551,0.2541,0.2898,0.2102,-1
relative,top1_correct,forced,n_surviving_votes,support_breadth,551,0.2541,0.6182,0.1182,1
relative,top1_correct,forced,sim_floor_active,floor_level,551,0.2541,0.5869,0.0869,1
relative,top1_correct,borderline,top1_top2_margin,rank_gap,136,1.0,,,1
relative,top1_correct,borderline,vote_entropy,support_dispersion,136,1.0,,,1
relative,top1_correct,borderline,effective_support,manifold_support,136,1.0,,,1
relative,top1_correct,borderline,max_vote_weight,peak_mass,136,1.0,,,1
relative,top1_correct,borderline,n_surviving_votes,support_breadth,136,1.0,,,1
relative,top1_correct,borderline,sim_floor_active,floor_level,136,1.0,,,1
relative,top1_correct,recoverable,top1_top2_margin,rank_gap,1762,1.0,,,1
relative,top1_correct,recoverable,vote_entropy,support_dispersion,1762,1.0,,,1
relative,top1_correct,recoverable,effective_support,manifold_support,1762,1.0,,,1
relative,top1_correct,recoverable,max_vote_weight,peak_mass,1762,1.0,,,1
relative,top1_correct,recoverable,n_surviving_votes,support_breadth,1762,1.0,,,1
relative,top1_correct,recoverable,sim_floor_active,floor_level,1762,1.0,,,1
relative,vote_correct,all,top1_top2_margin,rank_gap,2449,0.8367,0.5778,0.0778,1
relative,vote_correct,all,vote_entropy,support_dispersion,2449,0.8367,0.6802,0.1802,1
relative,vote_correct,all,effective_support,manifold_support,2449,0.8367,0.6802,0.1802,1
relative,vote_correct,all,max_vote_weight,peak_mass,2449,0.8367,0.4052,0.0948,-1
relative,vote_correct,all,n_surviving_votes,support_breadth,2449,0.8367,0.7749,0.2749,1
relative,vote_correct,all,sim_floor_active,floor_level,2449,0.8367,0.6059,0.1059,1
relative,vote_correct,forced,top1_top2_margin,rank_gap,551,0.2831,0.2225,0.2775,-1
relative,vote_correct,forced,vote_entropy,support_dispersion,551,0.2831,0.714,0.214,1
relative,vote_correct,forced,effective_support,manifold_support,551,0.2831,0.714,0.214,1
relative,vote_correct,forced,max_vote_weight,peak_mass,551,0.2831,0.2463,0.2537,-1
relative,vote_correct,forced,n_surviving_votes,support_breadth,551,0.2831,0.672,0.172,1
relative,vote_correct,forced,sim_floor_active,floor_level,551,0.2831,0.5466,0.0466,1
relative,vote_correct,borderline,top1_top2_margin,rank_gap,136,0.9632,0.1939,0.3061,-1
relative,vote_correct,borderline,vote_entropy,support_dispersion,136,0.9632,0.6901,0.1901,1
relative,vote_correct,borderline,effective_support,manifold_support,136,0.9632,0.6901,0.1901,1
relative,vote_correct,borderline,max_vote_weight,peak_mass,136,0.9632,0.3023,0.1977,-1
relative,vote_correct,borderline,n_surviving_votes,support_breadth,136,0.9632,0.6802,0.1802,1
relative,vote_correct,borderline,sim_floor_active,floor_level,136,0.9632,0.2824,0.2176,-1
relative,vote_correct,recoverable,top1_top2_margin,rank_gap,1762,1.0,,,1
relative,vote_correct,recoverable,vote_entropy,support_dispersion,1762,1.0,,,1
relative,vote_correct,recoverable,effective_support,manifold_support,1762,1.0,,,1
relative,vote_correct,recoverable,max_vote_weight,peak_mass,1762,1.0,,,1
relative,vote_correct,recoverable,n_surviving_votes,support_breadth,1762,1.0,,,1
relative,vote_correct,recoverable,sim_floor_active,floor_level,1762,1.0,,,1
pooled,top1_correct,all,top1_top2_margin,rank_gap,4835,0.8294,0.5762,0.0762,1
pooled,top1_correct,all,vote_entropy,support_dispersion,4835,0.8294,0.6408,0.1408,1
pooled,top1_correct,all,effective_support,manifold_support,4835,0.8294,0.6408,0.1408,1
pooled,top1_correct,all,max_vote_weight,peak_mass,4835,0.8294,0.4301,0.0699,-1
pooled,top1_correct,all,n_surviving_votes,support_breadth,4835,0.8294,0.7276,0.2276,1
pooled,top1_correct,all,sim_floor_active,floor_level,4835,0.8294,0.5039,0.0039,-1
pooled,top1_correct,forced,top1_top2_margin,rank_gap,1097,0.2479,0.2282,0.2718,-1
pooled,top1_correct,forced,vote_entropy,support_dispersion,1097,0.2479,0.6902,0.1902,1
pooled,top1_correct,forced,effective_support,manifold_support,1097,0.2479,0.6902,0.1902,1
pooled,top1_correct,forced,max_vote_weight,peak_mass,1097,0.2479,0.2651,0.2349,-1
pooled,top1_correct,forced,n_surviving_votes,support_breadth,1097,0.2479,0.6572,0.1572,1
pooled,top1_correct,forced,sim_floor_active,floor_level,1097,0.2479,0.5172,0.0172,1
pooled,top1_correct,borderline,top1_top2_margin,rank_gap,347,1.0,,,1
pooled,top1_correct,borderline,vote_entropy,support_dispersion,347,1.0,,,1
pooled,top1_correct,borderline,effective_support,manifold_support,347,1.0,,,1
pooled,top1_correct,borderline,max_vote_weight,peak_mass,347,1.0,,,1
pooled,top1_correct,borderline,n_surviving_votes,support_breadth,347,1.0,,,1
pooled,top1_correct,borderline,sim_floor_active,floor_level,347,1.0,,,1
pooled,top1_correct,recoverable,top1_top2_margin,rank_gap,3391,1.0,,,1
pooled,top1_correct,recoverable,vote_entropy,support_dispersion,3391,1.0,,,1
pooled,top1_correct,recoverable,effective_support,manifold_support,3391,1.0,,,1
pooled,top1_correct,recoverable,max_vote_weight,peak_mass,3391,1.0,,,1
pooled,top1_correct,recoverable,n_surviving_votes,support_breadth,3391,1.0,,,1
pooled,top1_correct,recoverable,sim_floor_active,floor_level,3391,1.0,,,1
pooled,vote_correct,all,top1_top2_margin,rank_gap,4835,0.8387,0.5602,0.0602,1
pooled,vote_correct,all,vote_entropy,support_dispersion,4835,0.8387,0.6745,0.1745,1
pooled,vote_correct,all,effective_support,manifold_support,4835,0.8387,0.6745,0.1745,1
pooled,vote_correct,all,max_vote_weight,peak_mass,4835,0.8387,0.3966,0.1034,-1
pooled,vote_correct,all,n_surviving_votes,support_breadth,4835,0.8387,0.7568,0.2568,1
pooled,vote_correct,all,sim_floor_active,floor_level,4835,0.8387,0.5163,0.0163,1
pooled,vote_correct,forced,top1_top2_margin,rank_gap,1097,0.3054,0.2381,0.2619,-1
pooled,vote_correct,forced,vote_entropy,support_dispersion,1097,0.3054,0.7636,0.2636,1
pooled,vote_correct,forced,effective_support,manifold_support,1097,0.3054,0.7636,0.2636,1
pooled,vote_correct,forced,max_vote_weight,peak_mass,1097,0.3054,0.2058,0.2942,-1
pooled,vote_correct,forced,n_surviving_votes,support_breadth,1097,0.3054,0.7327,0.2327,1
pooled,vote_correct,forced,sim_floor_active,floor_level,1097,0.3054,0.5524,0.0524,1
pooled,vote_correct,borderline,top1_top2_margin,rank_gap,347,0.9481,0.2926,0.2074,-1
pooled,vote_correct,borderline,vote_entropy,support_dispersion,347,0.9481,0.5927,0.0927,1
pooled,vote_correct,borderline,effective_support,manifold_support,347,0.9481,0.5927,0.0927,1
pooled,vote_correct,borderline,max_vote_weight,peak_mass,347,0.9481,0.3676,0.1324,-1
pooled,vote_correct,borderline,n_surviving_votes,support_breadth,347,0.9481,0.5775,0.0775,1
pooled,vote_correct,borderline,sim_floor_active,floor_level,347,0.9481,0.4634,0.0366,-1
pooled,vote_correct,recoverable,top1_top2_margin,rank_gap,3391,1.0,,,1
pooled,vote_correct,recoverable,vote_entropy,support_dispersion,3391,1.0,,,1
pooled,vote_correct,recoverable,effective_support,manifold_support,3391,1.0,,,1
pooled,vote_correct,recoverable,max_vote_weight,peak_mass,3391,1.0,,,1
pooled,vote_correct,recoverable,n_surviving_votes,support_breadth,3391,1.0,,,1
pooled,vote_correct,recoverable,sim_floor_active,floor_level,3391,1.0,,,1
